20191029_construction_row_37,X000142,COMPLETED,Melbourne (CBD),140 East 134-144 Bourke Street MELBOURNE VIC 3000,13,0,-37.81202281,144.9688374
20191029_construction_row_38,X000411,COMPLETED,Carlton,The Bellagio Carlton 63-69 Bouverie Street CARLTON VIC 3053,8,0,-37.80495785,144.9613774
20191029_construction_row_39,X000412,COMPLETED,Carlton,71-79 Bouverie Street CARLTON VIC 3053,8,0,-37.80478096,144.961409
20191029_construction_row_40,X000390,COMPLETED,Carlton,117-121 Bouverie Street CARLTON VIC 3053,4,0,-37.80376613,144.9615731
20191029_construction_row_41,X000393,COMPLETED,Carlton,139-143 Bouverie Street CARLTON VIC 3053,9,0,-37.80322394,144.9616992
20191029_construction_row_42,X000367,COMPLETED,Carlton,Melbourne University 197-235 Bouverie Street CARLTON VIC 3053,5,0,-37.80103675,144.9616182
20191029_construction_row_43,X000455,COMPLETED,North Melbourne,Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,2,0,-37.79644747,144.9441003
20191029_construction_row_44,X000514,COMPLETED,North Melbourne,182-194 Capel Street NORTH MELBOURNE VIC 3051,1,0,-37.803162,144.955907
20191029_construction_row_45,X000502,COMPLETED,North Melbourne,108-112 Capel Street NORTH MELBOURNE VIC 3051,4,0,-37.80541077,144.9555006
20191029_construction_row_46,X000425,COMPLETED,Carlton,51 Cardigan Street CARLTON VIC 3053,2,0,-37.80552905,144.9642508
20191029_construction_row_47,X000369,COMPLETED,Carlton,203-225 Cardigan Street CARLTON VIC 3053,4,0,-37.80170813,144.9649452
20191029_construction_row_48,X000329,COMPLETED,Carlton,437-439 Cardigan Street CARLTON VIC 3053,2,0,-37.7958311,144.9659805
20191029_construction_row_49,X000490,COMPLETED,North Melbourne,76-78 Chapman Street NORTH MELBOURNE VIC 3051,3,0,-37.79531399,144.9478971
20191029_construction_row_50,X000594,COMPLETED,West Melbourne (Residential),30-44 Chetwynd Street WEST MELBOURNE VIC 3003,5,0,-37.80708219,144.9523847
