20191029_bar_row_51,European Bier Cafe,2006,114-122 Exhibition Street,Melbourne (CBD),550,-37.81285806,144.9711999
20191029_bar_row_52,Bridie O'Reillys,2006,62-66 Little Collins Street,Melbourne (CBD),285,-37.81280958,144.971442
20191029_bar_row_53,Mecca,2006,3 Southgate Avenue,Southbank,200,-37.82066923,144.9662623
20191029_bar_row_54,Chill On Pty Ltd,2008,296-298 Russell Street,Melbourne (CBD),120,-37.80957196,144.9669287
20191029_bar_row_55,Coopers Inn,2006,242-284 Exhibition Street,Melbourne (CBD),400,-37.80941489,144.9699756
20191029_bar_row_56,The Owl & The Pussycat,2006,333-351 Exhibition Street,Melbourne (CBD),100,-37.8078604,144.9680267
20191029_bar_row_57,Duke of Kent Hotel,2006,293-299 La Trobe Street,Melbourne (CBD),200,-37.81081439,144.9605086
20191029_bar_row_58,Shamiana,2006,244-250 Queen Street,Melbourne (CBD),200,-37.81269018,144.959964
20191029_bar_row_59,Great Western Hotel,2006,204-208 King Street,Melbourne (CBD),390,-37.81521196,144.9554836
20191029_bar_row_60,The Keeper's Arm,2006,351-359 Queensberry Street,North Melbourne,240,-37.80395618,144.9559672
20191029_bar_row_61,Bond Lounge,2006,16-26 Bond Street,Melbourne (CBD),500,-37.81814578,144.9630575
20191029_bar_row_62,Waterside Hotel,2006,508-514 Flinders Street,Melbourne (CBD),324,-37.820166,144.9571505
20191029_bar_row_64,Hotel Milan,2006,186-190 Lygon Street,Carlton,540,-37.80263986,144.9669216
20191029_bar_row_66,The Leveson,2006,46-50 Leveson Street,North Melbourne,400,-37.80370014,144.9514591
20191029_bar_row_67,John Curtin Hotel,2002,27-31 Lygon Street,Carlton,350,-37.80619915,144.9656988
20191029_bar_row_69,Pugg Mahones Irish Bar,2006,106-112 Hardware Street,Melbourne (CBD),200,-37.81213605,144.9606805
20191029_bar_row_70,Eldorado Hotel,2002,46-50 Leveson Street,North Melbourne,400,-37.80370014,144.9514591
20191029_bar_row_71,Hyde,2006,312-318 Russell Street,Melbourne (CBD),269,-37.80932575,144.9668166
20191029_bar_row_72,Atlantic South Wharf Function Centre,2006,7-9 South Wharf,Southbank,1300,-37.82409303,144.9503336
20191029_bar_row_73,The Irish Times,2013,425-427 Little Collins Street,Melbourne (CBD),170,-37.8162542,144.9605354
20191029_bar_row_74,Locker Room Club Bar,2002,94-148 Harbour Esplanade,Docklands,500,-37.81656591,144.9475776
20191029_bar_row_75,Redback Brewery Hotel,2002,75-79 Flemington Road,North Melbourne,670,-37.79895071,144.9533473
20191029_bar_row_76,The Chifley On Flemington,2002,5-17 Flemington Road,North Melbourne,230,-37.80140031,144.9558713
20191029_bar_row_78,Limerick Castle Hotel & Restaurant,2002,161-163 Errol Street,North Melbourne,50,-37.80114341,144.9496139
20191029_bar_row_80,Albion Hotel,2008,171-173 Curzon Street,North Melbourne,150,-37.79889904,144.9485505
20191029_bar_row_81,The Turf Bar & Restaurant,2006,131-141 Queen Street,Melbourne (CBD),527,-37.81549904,144.9605409
20191029_bar_row_82,La La Land. The Melbourne Room,2011,391-393 Little Lonsdale Street,Melbourne (CBD),175,-37.81187439,144.9603411
20191029_bar_row_83,Plough and Harrow Hotel,2006,594-600 Swanston Street,Carlton,400,-37.80276989,144.9639453
20191029_bar_row_84,Clique Bar,2011,26-32 King Street,Melbourne (CBD),222,-37.81952934,144.957466
20191029_bar_row_85,The Apartment Restaurant Club Lounge,2006,401-405 Little Bourke Street,Melbourne (CBD),250,-37.81403196,144.9610348
20191029_bar_row_86,Word Events,2006,14-20 Goldie Place,Melbourne (CBD),200,-37.81328585,144.960731
20191029_bar_row_87,Menzies Tavern,2006,500-514 Collins Street,Melbourne (CBD),200,-37.81753383,144.9574732
20191029_bar_row_88,Carlton Yacht Club Bar,2008,298 Lygon Street,Carlton,60,-37.79998572,144.9673764
20191029_bar_row_89,University Hotel,2008,270-276 Lygon Street,Carlton,111,-37.8005263,144.9672432
20191029_bar_row_90,Bunker Lounge Bar,2006,407-409 Swanston Street,Melbourne (CBD),92,-37.80895593,144.9631797
20191029_bar_row_91,Commodity Cafe,2013,497-503 St Kilda Road,Melbourne (Remainder),150,-37.84331737,144.9790762
20191029_bar_row_92,Hilton Hotels of Australia (Melbourne) Pty Ltd,2002,178-226 Wellington Parade,East Melbourne,200,-37.81582277,144.9834989
20191029_bar_row_93,MCG Worx,2002,178-226 Wellington Parade,East Melbourne,144,-37.81582277,144.9834989
20191029_bar_row_94,Hilton,2006,178-226 Wellington Parade,East Melbourne,200,-37.81582277,144.9834989
20191029_bar_row_95,De Biers,2006,277-279 Flinders Lane,Melbourne (CBD),400,-37.81724201,144.9652979
20191029_bar_row_96,Explorers Inn,2006,10-22 Spencer Street,Melbourne (CBD),50,-37.82050677,144.9552421
20191029_bar_row_98,Welcome Stranger,2006,124-128 Bourke Street,Melbourne (CBD),350,-37.81207094,144.9692645
20191029_bar_row_99,CBD Cafe Bar,2006,174-192 Exhibition Street,Melbourne (CBD),190,-37.81121462,144.9706454
20191029_bar_row_100,United Kingdom Settlers Association,2002,146W-150W Toorak Road,South Yarra,100,-37.83764623,144.9843706
20191029_bar_row_102,Red Violin,2008,231-233 Bourke Street,Melbourne (CBD),303,-37.81343614,144.9668415
20191029_bar_row_103,Hard Rock Cafe,2006,103-137 Spring Street,Melbourne (CBD),500,-37.81199351,144.9729245
20191029_bar_row_104,Bear Brass,2006,3 Southgate Avenue,Southbank,200,-37.82066923,144.9662623
20191029_bar_row_105,P J O'Briens Irish Pub,2006,3 Southgate Avenue,Southbank,350,-37.82066923,144.9662623
20191029_bar_row_106,Canada Hotel,2002,594-600 Swanston Street,Carlton,250,-37.80276989,144.9639453
20191029_bar_row_107,Chris's Daily Grind,2006,170-176 William Street,Melbourne (CBD),50,-37.81492637,144.9582309
20191029_bar_row_108,Cafe Dom - The Granite Bar,2002,497-503 St Kilda Road,Melbourne (Remainder),500,-37.84331737,144.9790762
20191029_bar_row_109,Altitude,2006,163-169 Russell Street,Melbourne (CBD),300,-37.81246709,144.9676479
20191029_bar_row_110,The Bliss Lounge,2006,7-11 Queen Street,Melbourne (CBD),210,-37.81861863,144.9619461
20191029_bar_row_111,Double Happiness Bar,2011,21 Liverpool Street,Melbourne (CBD),164,-37.81118056,144.9712639
20191029_bar_row_113,Townhall Hotel North Melbourne,2002,33 Errol Street,North Melbourne,220,-37.80414139,144.9489068
20191029_bar_row_114,The Castle Hotel,2002,56-58 Courtney Street,North Melbourne,317,-37.8008985,144.953035
20191029_bar_row_115,Penny Blue,2011,318-322 Little Bourke Street,Melbourne (CBD),85,-37.81292437,144.9631276
20191029_bar_row_118,Lincoln Hotel,2002,91-95 Cardigan Street,Carlton,50,-37.80448528,144.9645057
