X000568,COMPLETED,West Melbourne (Residential),1-13 Abbotsford Street WEST MELBOURNE VIC 3003,3,0,-37.80791988,144.9432805
X000479,COMPLETED,North Melbourne,191-201 Abbotsford Street NORTH MELBOURNE VIC 3051,2,0,-37.80282184,144.9450298
X000459,COMPLETED,North Melbourne,218-224 Abbotsford Street NORTH MELBOURNE VIC 3051,3,0,-37.80204879,144.9459475
X000573,COMPLETED,West Melbourne (Residential),56-62 Abbotsford Street WEST MELBOURNE VIC 3003,4,0,-37.80679128,144.9447186
X000288,COMPLETED,Melbourne (CBD),150-154 A'Beckett Street MELBOURNE VIC 3000,3,0,-37.80959665,144.9589709
X000557,COMPLETED,West Melbourne (Residential),7-21 Anderson Street WEST MELBOURNE VIC 3003,5,0,-37.80477682,144.9415469
X000563,COMPLETED,West Melbourne (Residential),1-9 Stawell Street WEST MELBOURNE VIC 3003,3,0,-37.80607242,144.9420962
X000448,COMPLETED,North Melbourne,302-308 Arden Street NORTH MELBOURNE VIC 3051,1,24,-37.79925034,144.9377236
X000449,COMPLETED,North Melbourne,North Melbourne Recreation Reserve 204-206 Arden Street NORTH MELBOURNE VIC 3051,2,0,-37.79892607,144.9414326
X000458,COMPLETED,North Melbourne,162-168 Arden Street NORTH MELBOURNE VIC 3051,2,0,-37.80032041,144.9462277
X000996,COMPLETED,North Melbourne,201 Arden Street NORTH MELBOURNE VIC 3051,1,0,-37.80029861,144.9410467
X000997,COMPLETED,North Melbourne,229-235 Arden Street NORTH MELBOURNE VIC 3051,2,0,-37.80037382,144.9392856
X000955,COMPLETED,Parkville,192-198 The Avenue PARKVILLE VIC 3052,4,0,-37.78295736,144.9578135
X000395,COMPLETED,Carlton,24-30 Barkly Place CARLTON VIC 3053,6,0,-37.803003,144.9614476
X000394,COMPLETED,Carlton,16-18 Barkly Place CARLTON VIC 3053,5,0,-37.80320056,144.9614195
X000706,COMPLETED,Melbourne (Remainder),Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004,1,0,-37.82129682,144.9790068
X000279,COMPLETED,West Melbourne (Residential),49-53 Batman Street WEST MELBOURNE VIC 3003,16,0,-37.81113438,144.9515544
X000617,COMPLETED,West Melbourne (Residential),115-129 Batman Street WEST MELBOURNE VIC 3003,4,0,-37.8116145,144.9493029
X000231,COMPLETED,Melbourne (CBD),11-21 Bennetts Lane MELBOURNE VIC 3000,2,0,-37.80916563,144.9676825
X000229,COMPLETED,Melbourne (CBD),10-14 Bennetts Lane MELBOURNE VIC 3000,14,0,-37.80905204,144.967921
X000404,COMPLETED,Carlton,97-115 Berkeley Street MELBOURNE VIC 3000,12,0,-37.80310281,144.9587954
X000362,COMPLETED,Carlton,223 Berkeley Street MELBOURNE VIC 3000,8,0,-37.80027561,144.9584344
X000532,COMPLETED,North Melbourne,4-12 Blackwood Street NORTH MELBOURNE VIC 3051,4,0,-37.80191511,144.9547459
X000122,COMPLETED,Melbourne (CBD),65-71 Bourke Street MELBOURNE VIC 3000,2,0,-37.81227537,144.9714501
X000114,COMPLETED,Melbourne (CBD),131-135 Bourke Street MELBOURNE VIC 3000,25,0,-37.81300651,144.969468
X000106,COMPLETED,Melbourne (CBD),Centrepoint Mall 283-297 Bourke Street MELBOURNE VIC 3000,6,0,-37.81420896,144.9652244
X000102,COMPLETED,Melbourne (CBD),359-385 Bourke Street MELBOURNE VIC 3000,42,0,-37.81492946,144.9629215
X000103,COMPLETED,Melbourne (CBD),393-403 Bourke Street MELBOURNE VIC 3000,8,0,-37.81513916,144.9621906
X000095,COMPLETED,Melbourne (CBD),RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,18,0,-37.81588557,144.9595846
X000094,COMPLETED,Melbourne (CBD),527-555 Bourke Street MELBOURNE VIC 3000,8,300,-37.81636454,144.9578145
X000124,COMPLETED,Melbourne (CBD),636-638 Bourke Street MELBOURNE VIC 3000,5,0,-37.81628199,144.9547125
X000129,COMPLETED,Melbourne (CBD),562-574 Bourke Street MELBOURNE VIC 3000,13,0,-37.8155088,144.9567556
X000136,COMPLETED,Melbourne (CBD),General Post Office 338-352 Bourke Street MELBOURNE VIC 3000,4,0,-37.81360352,144.9632886
X000135,COMPLETED,Melbourne (CBD),314-336 Bourke Street MELBOURNE VIC 3000,9,0,-37.81344774,144.9638271
X000134,COMPLETED,Melbourne (CBD),294-312 Bourke Street MELBOURNE VIC 3000,2,0,-37.8133313,144.9644292
X000140,COMPLETED,Melbourne (CBD),Target Centre 222-244 Bourke Street MELBOURNE VIC 3000,2,0,-37.81273571,144.9662781
X000139,COMPLETED,Melbourne (CBD),206-218 Bourke Street MELBOURNE VIC 3000,4,0,-37.81267467,144.9668682
X000142,COMPLETED,Melbourne (CBD),140 East 134-144 Bourke Street MELBOURNE VIC 3000,13,0,-37.81202281,144.9688374
X000411,COMPLETED,Carlton,The Bellagio Carlton 63-69 Bouverie Street CARLTON VIC 3053,8,0,-37.80495785,144.9613774
X000412,COMPLETED,Carlton,71-79 Bouverie Street CARLTON VIC 3053,8,0,-37.80478096,144.961409
X000390,COMPLETED,Carlton,117-121 Bouverie Street CARLTON VIC 3053,4,0,-37.80376613,144.9615731
X000393,COMPLETED,Carlton,139-143 Bouverie Street CARLTON VIC 3053,9,0,-37.80322394,144.9616992
X000367,COMPLETED,Carlton,Melbourne University 197-235 Bouverie Street CARLTON VIC 3053,5,0,-37.80103675,144.9616182
X000455,COMPLETED,North Melbourne,Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,2,0,-37.79644747,144.9441003
X000514,COMPLETED,North Melbourne,182-194 Capel Street NORTH MELBOURNE VIC 3051,1,0,-37.803162,144.955907
X000502,COMPLETED,North Melbourne,108-112 Capel Street NORTH MELBOURNE VIC 3051,4,0,-37.80541077,144.9555006
X000425,COMPLETED,Carlton,51 Cardigan Street CARLTON VIC 3053,2,0,-37.80552905,144.9642508
X000369,COMPLETED,Carlton,203-225 Cardigan Street CARLTON VIC 3053,4,0,-37.80170813,144.9649452
X000329,COMPLETED,Carlton,437-439 Cardigan Street CARLTON VIC 3053,2,0,-37.7958311,144.9659805
X000490,COMPLETED,North Melbourne,76-78 Chapman Street NORTH MELBOURNE VIC 3051,3,0,-37.79531399,144.9478971
X000594,COMPLETED,West Melbourne (Residential),30-44 Chetwynd Street WEST MELBOURNE VIC 3003,5,0,-37.80708219,144.9523847
X000688,COMPLETED,East Melbourne,126-158 Clarendon Street EAST MELBOURNE VIC 3002,5,0,-37.812282,144.9841024
X000689,COMPLETED,East Melbourne,126-158 Clarendon Street EAST MELBOURNE VIC 3002,11,0,-37.812282,144.9841024
X000507,COMPLETED,North Melbourne,2-14 Cobden Street NORTH MELBOURNE VIC 3051,4,0,-37.80552735,144.9574951
X000436,COMPLETED,Parkville,Queen's College 1-17 College Crescent PARKVILLE VIC 3052,4,0,-37.79341349,144.9631654
X000437,COMPLETED,Parkville,St Hilda's College 19-27 College Crescent PARKVILLE VIC 3052,5,0,-37.79262915,144.9625605
X000438,COMPLETED,Parkville,Ormond College 29-55 College Crescent PARKVILLE VIC 3052,3,0,-37.7930669,144.9605351
X000439,COMPLETED,Parkville,Ormond College 29-55 College Crescent PARKVILLE VIC 3052,3,0,-37.7930669,144.9605351
X000440,COMPLETED,Parkville,Trinity College 100 Royal Parade PARKVILLE VIC 3052,4,0,-37.79514063,144.9594147
X000060,COMPLETED,Melbourne (CBD),167-173 Collins Street MELBOURNE VIC 3000,19,136,-37.81566141,144.9683148
X000057,COMPLETED,Melbourne (CBD),241-245 Collins Street MELBOURNE VIC 3000,5,0,-37.81606227,144.9658297
X000058,COMPLETED,Melbourne (CBD),271-285 Collins Street MELBOURNE VIC 3000,11,0,-37.81654626,144.9649787
X000059,COMPLETED,Melbourne (CBD),287-301 Collins Street MELBOURNE VIC 3000,9,0,-37.81642214,144.9644915
X000055,COMPLETED,Melbourne (CBD),351-357 Collins Street MELBOURNE VIC 3000,22,40,-37.8172905,144.9627882
X000070,COMPLETED,Melbourne (CBD),Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,28,0,-37.81867521,144.9543508
X000068,COMPLETED,Melbourne (CBD),568-580 Collins Street MELBOURNE VIC 3000,67,266,-37.81836589,144.9554242
X000067,COMPLETED,Melbourne (CBD),McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,4,0,-37.81824449,144.9558442
X000073,COMPLETED,Melbourne (CBD),480-490 Collins Street MELBOURNE VIC 3000,21,0,-37.81764139,144.9579658
X000076,COMPLETED,Melbourne (CBD),454-456 Collins Street MELBOURNE VIC 3000,11,0,-37.81734734,144.9592317
X000074,COMPLETED,Melbourne (CBD),400-402 Collins Street MELBOURNE VIC 3000,7,0,-37.8168249,144.9609385
X000083,COMPLETED,Melbourne (CBD),258-274 Collins Street MELBOURNE VIC 3000,13,0,-37.81537999,144.9648904
X001141,COMPLETED,West Melbourne (Industrial),25 Enterprize Road WEST MELBOURNE VIC 3003,2,0,-37.81616148,144.9293874
X000116,COMPLETED,Melbourne (CBD),20-26 Coromandel Place MELBOURNE VIC 3000,16,0,-37.81302783,144.9692548
X000516,COMPLETED,North Melbourne,La Trobe Close 13-39 Courtney Street NORTH MELBOURNE VIC 3051,7,117,-37.8022174,144.9535114
X000488,COMPLETED,North Melbourne,90-98 Curzon Street NORTH MELBOURNE VIC 3051,3,0,-37.80180468,144.9486062
X000667,COMPLETED,Kensington,56-68 Derby Street KENSINGTON VIC 3031,6,0,-37.79757493,144.9274052
X000946,COMPLETED,South Yarra,143-151 Domain Road SOUTH YARRA VIC 3141,3,0,-37.83420325,144.9810994
X000355,COMPLETED,Carlton,Rosso Apartments 262-276 Drummond Street CARLTON VIC 3053,4,0,-37.79976069,144.9688791
X000611,COMPLETED,West Melbourne (Residential),100-154 Batman Street WEST MELBOURNE VIC 3003,3,0,-37.81101185,144.9489427
X000604,COMPLETED,West Melbourne (Residential),104-128 Dudley Street WEST MELBOURNE VIC 3003,10,0,-37.8092538,144.9512713
X000603,COMPLETED,West Melbourne (Residential),52-54 Dudley Street WEST MELBOURNE VIC 3003,5,1,-37.80866622,144.9534802
X000624,COMPLETED,West Melbourne (Industrial),442-452 Dynon Road WEST MELBOURNE VIC 3003,2,0,-37.80083691,144.9130748
X000999,COMPLETED,West Melbourne (Industrial),142-150 Dynon Road WEST MELBOURNE VIC 3003,2,0,-37.80291641,144.930412
X000643,COMPLETED,Kensington,457-469 Macaulay Road KENSINGTON VIC 3031,4,0,-37.79485049,144.9315297
X000341,COMPLETED,Carlton,230-232 Elgin Street CARLTON VIC 3053,3,0,-37.79681346,144.9665749
X000340,COMPLETED,Carlton,216-228 Elgin Street CARLTON VIC 3053,3,0,-37.79673722,144.9668804
X000350,COMPLETED,Carlton,168-174 Elgin Street CARLTON VIC 3053,4,0,-37.79708912,144.9687787
X000351,COMPLETED,Carlton,138-144 Elgin Street CARLTON VIC 3053,3,0,-37.7971508,144.9698102
X000079,COMPLETED,Melbourne (CBD),97-103 Elizabeth Street MELBOURNE VIC 3000,8,0,-37.81591904,144.9634959
X000253,COMPLETED,Melbourne (CBD),284-294 La Trobe Street MELBOURNE VIC 3000,9,0,-37.81001419,144.9608496
X000257,COMPLETED,Melbourne (CBD),399-411 Elizabeth Street MELBOURNE VIC 3000,5,0,-37.80955762,144.9606404
X000294,COMPLETED,Melbourne (CBD),453-459 Elizabeth Street MELBOURNE VIC 3000,12,0,-37.80845865,144.960166
X000511,COMPLETED,North Melbourne,587-589 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80460726,144.9581241
X000512,COMPLETED,North Melbourne,591-593 Elizabeth Street MELBOURNE VIC 3000,7,0,-37.80452349,144.9580838
X000958,COMPLETED,Parkville,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,15,0,-37.80019271,144.9566698
X000364,COMPLETED,Carlton,786-798 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80007242,144.9582638
X000401,COMPLETED,Carlton,660-674 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80279165,144.9584959
X000400,COMPLETED,Carlton,Elan Apartments 634-640 Elizabeth Street MELBOURNE VIC 3000,11,0,-37.80338509,144.9587732
X000405,COMPLETED,Carlton,536-542 Elizabeth Street MELBOURNE VIC 3000,3,0,-37.80545065,144.9596983
X000295,COMPLETED,Melbourne (CBD),410-420 Elizabeth Street MELBOURNE VIC 3000,55,137,-37.80894871,144.961157
X000161,COMPLETED,Melbourne (CBD),222-260 Elizabeth Street MELBOURNE VIC 3000,21,0,-37.81270208,144.9628825
X000020,COMPLETED,Melbourne (CBD),River View House 274-282 Flinders Street MELBOURNE VIC 3000,4,0,-37.81765999,144.9650858
X000556,COMPLETED,North Melbourne,North Melbourne Primary School 200-214 Errol Street NORTH MELBOURNE VIC 3051,2,0,-37.79832324,144.9515714
X000525,COMPLETED,North Melbourne,130-140 Errol Street NORTH MELBOURNE VIC 3051,5,34,-37.80183594,144.9501887
X000029,COMPLETED,Melbourne (CBD),11-37 Exhibition Street MELBOURNE VIC 3000,17,0,-37.81546126,144.9717264
X000111,COMPLETED,Melbourne (CBD),113-149 Exhibition Street MELBOURNE VIC 3000,22,0,-37.81281423,144.9701094
X000112,COMPLETED,Melbourne (CBD),113-149 Exhibition Street MELBOURNE VIC 3000,40,0,-37.81281423,144.9701094
X000118,COMPLETED,Melbourne (CBD),136-144 Exhibition Street MELBOURNE VIC 3000,2,0,-37.81240242,144.9711072
X000092,COMPLETED,Melbourne (CBD),96-102 Exhibition Street MELBOURNE VIC 3000,10,0,-37.81330117,144.9714494
X000235,COMPLETED,Melbourne (CBD),Fraser Place Melbourne 17-19 Exploration Lane MELBOURNE VIC 3000,14,0,-37.80895367,144.9680775
X000533,COMPLETED,North Melbourne,RMIT Village 5-17 Flemington Road NORTH MELBOURNE VIC 3051,6,0,-37.80142395,144.955841
X000544,COMPLETED,North Melbourne,47-59 Flemington Road NORTH MELBOURNE VIC 3051,1,0,-37.79972957,144.9543181
X000550,COMPLETED,North Melbourne,Unilodge on Villiers Apartments 51-63 Villiers Street NORTH MELBOURNE VIC 3051,10,2,-37.7989505,144.9533473
X000555,COMPLETED,North Melbourne,George Apartments 97-103 Flemington Road NORTH MELBOURNE VIC 3051,8,0,-37.79844294,144.9527049
X000988,COMPLETED,Parkville,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,5,860,-37.79361764,144.9495408
X000989,COMPLETED,Parkville,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,8,0,-37.79361764,144.9495408
X000022,COMPLETED,Melbourne (CBD),167-173 Flinders Lane MELBOURNE VIC 3000,2,0,-37.81614284,144.9688284
