20191029_pedestrian_row_39,56,Lon364_T,Lonsdale St - Elizabeth St (North),A,-37.81234775,144.96153311,2019-10-30T00:00:00.000,05:54,1
20191029_pedestrian_row_40,42,UM1_T,Grattan St-Swanston St (West),A,-37.80008565,144.96386412,2019-10-30T00:00:00.000,05:48,1
20191029_pedestrian_row_41,5,PriNW_T,Princes Bridge,A,-37.81874249,144.96787656,2019-10-30T00:00:00.000,05:26,1
20191029_pedestrian_row_42,50,Lyg309_T,Faraday St-Lygon St (West),A,-37.79808191,144.96721014,2019-10-30T00:00:00.000,05:50,1
20191029_pedestrian_row_43,52,Eli263_T,Elizabeth St-Lonsdale St (South),A,-37.81252157,144.9619401,2019-10-30T00:00:00.000,05:40,2
20191029_pedestrian_row_44,2,Bou283_T,Bourke Street Mall (South),A,-37.81380667,144.96516719,2019-10-30T00:00:00.000,05:33,1
20191029_pedestrian_row_45,35,SouthB_T,Southbank,A,-37.82017828,144.96508877,2019-10-30T00:00:00.000,05:26,1
20191029_pedestrian_row_46,1,Bou292_T,Bourke Street Mall (North),A,-37.8134944,144.96515324,2019-10-30T00:00:00.000,05:26,1
20191029_pedestrian_row_47,45,Swa148_T,Little Collins St-Swanston St (East),A,-37.81414074,144.9660938,2019-10-30T00:00:00.000,05:26,2
20191029_pedestrian_row_48,61,RMIT14_T,RMIT Building 14,A,-37.80767455,144.96309115,2019-10-30T00:00:00.000,05:45,1
20191029_pedestrian_row_49,7,Fed_T,Birrarung Marr,A,-37.81862929,144.97169395,2019-10-30T00:00:00.000,05:38,2
20191029_pedestrian_row_50,55,Eli380_T,Elizabeth St-La Trobe St (East),A,-37.80988941,144.96134331,2019-10-30T00:00:00.000,05:26,2
20191029_pedestrian_row_51,62,Lat224_T,La Trobe St (North),A,-37.80996494,144.96216521,2019-10-30T00:00:00.000,05:47,1
20191029_pedestrian_row_52,14,SanBri_T,Sandridge Bridge,A,-37.82011242,144.96291898,2019-10-30T00:00:00.000,05:26,2
20191029_pedestrian_row_53,25,MCEC_T,Melbourne Convention Exhibition Centre,A,-37.82401776,144.95604426,2019-10-30T00:00:00.000,05:26,1
