20191029_streetlight_row_41,1347352,Feature Lighting - Docklands,5,70,Inground,-37.82473841181423,144.9469515869737
20191029_streetlight_row_42,1348294,Feature Lighting - Docklands,5,70,Inground,-37.824471854182505,144.94536770578716
20191029_streetlight_row_43,1541814,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.8232281450734,144.94720563629005
20191029_streetlight_row_44,1347291,Feature Lighting - Docklands,3,36,Parapet,-37.817535725527215,144.94981107037793
20191029_streetlight_row_45,1348296,Feature Lighting - Docklands,5,70,Inground,-37.82431331754719,144.94516101581223
20191029_streetlight_row_46,1540634,Feature Lighting -,13,70,Pole: Multiple Fixed,-37.81774112847148,144.94550897411307
20191029_streetlight_row_47,1543468,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,0,Pole: Multiple Fixed,-37.822383424753596,144.94534366517277
20191029_streetlight_row_48,1543347,Feature Lighting -,0,0,no_data,-37.82498801452582,144.94710123643145
20191029_streetlight_row_49,1346441,Feature Lighting - Docklands,0,0,no_data,-37.81828901713235,144.9448057250748
20191029_streetlight_row_50,1543624,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,0,Pole: Multiple Fixed,-37.82264739199966,144.94642856874486
20191029_streetlight_row_51,1487816,Feature Lighting - Docklands,0,0,no_data,-37.81423593171386,144.9431195186739
20191029_streetlight_row_52,1502828,Feature Lighting - Southbank,0,0,Stairs,-37.8200181486779,144.96703560390222
20191029_streetlight_row_53,1347764,Feature Lighting - Docklands,3,21,Inground,-37.82460552527598,144.94550663602934
20191029_streetlight_row_54,1347251,Feature Lighting - Docklands,1,0,Bridge Beam,-37.817638300519,144.94970724210893
20191029_streetlight_row_55,1540333,Feature Lighting - Enterprize Park,9,200,Pole: Multiple Fixed,-37.8201868439961,144.9599969386748
20191029_streetlight_row_56,1542807,Feature Lighting -,12,0,Pole: Multiple Fixed,-37.82278621739076,144.94709398893005
20191029_streetlight_row_57,1487813,Feature Lighting - Docklands,0,0,no_data,-37.81427650844949,144.94319889224053
20191029_streetlight_row_58,1544735,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,0,Pole: Multiple Fixed,-37.82286203912016,144.9471574713493
20191029_streetlight_row_59,1347784,Feature Lighting - Docklands,5,35,Inground,-37.815301560977,144.94060098349718
20191029_streetlight_row_60,1347656,Feature Lighting - Docklands,1,50,Inground,-37.81529454953477,144.9443181972326
20191029_streetlight_row_61,1542567,Feature Lighting -,9,0,Pole: Multiple Fixed,-37.82276283182407,144.94679711893744
20191029_streetlight_row_62,1542274,Feature Lighting - Birrarung Marr,9,0,Pole: Multiple Fixed,-37.81847428262163,144.97379118541062
20191029_streetlight_row_63,1541003,Feature Lighting - Seafarers Rest,2,14,Pole: Multiple Fixed,-37.822916843604645,144.9514889716899
20191029_streetlight_row_64,1348163,Feature Lighting - Docklands,5,70,Inground,-37.82434149131626,144.94541990109929
20191029_streetlight_row_65,1541524,Feature Lighting - Southbank Pedestrian Bridge between Southbank Promenade and Flinders Walk,3,14,Pole: Multiple Fixed,-37.8198499569466,144.9651306867434
20191029_streetlight_row_66,1347548,Feature Lighting - Docklands,5,70,Inground,-37.8151510929702,144.94164414565688
20191029_streetlight_row_67,1346884,Feature Lighting - Docklands,1,0,Canopy,-37.817783422359206,144.95068075381164
20191029_streetlight_row_68,1541688,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.823066734483135,144.94726737810814
20191029_streetlight_row_69,1543628,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,0,Pole: Multiple Fixed,-37.822653959661174,144.94642956635545
20191029_streetlight_row_70,1540215,Feature Lighting - Manningham Street between Church Street and Lennon Street,0,14,Pole: Multiple Fixed,-37.786831808733226,144.94186587628144
20191029_streetlight_row_71,1539919,Feature Lighting - Harbour Esplanade between Bourke Street and La Trobe Street,13,70,Pole: Multiple Fixed,-37.818676164633594,144.9460398070764
20191029_streetlight_row_72,1543400,Feature Lighting - Upfield Railway,9,0,Pole: Multiple Fixed,-37.786906333333754,144.94168028244212
20191029_streetlight_row_73,1348223,Feature Lighting - Docklands,5,70,Inground,-37.824369176030906,144.944724453934
20191029_streetlight_row_74,1542816,Feature Lighting -,12,0,Pole: Multiple Fixed,-37.82386019679607,144.9473835684709
20191029_streetlight_row_75,1541519,Feature Lighting - Southbank Pedestrian Bridge between Southbank Promenade and Flinders Walk,2,125,Pole: Multiple Fixed,-37.8198224126864,144.9649831652421
20191029_streetlight_row_76,1347478,Feature Lighting - Docklands,1,0,Inground,-37.81548360739128,144.93980872518534
20191029_streetlight_row_77,1539593,Feature Lighting - Victoria Harbour,9,0,Pole: Multiple Fixed,-37.81534920703347,144.94107563799298
20191029_streetlight_row_78,1541419,Feature Lighting - Docklands Park,13,14,Pole: Multiple Fixed,-37.82023027903455,144.94636058804969
20191029_streetlight_row_79,1541497,Feature Lighting - Queensbridge Square between Queens Bridge Street and Southbank Boulevard,13,14,Pole: Multiple Fixed,-37.82144433016132,144.96160224078565
20191029_streetlight_row_80,1347187,Feature Lighting - Docklands,5,70,Inground,-37.82018561079434,144.94991424064915
20191029_streetlight_row_81,1542162,Feature Lighting - Birrarung Marr,9,0,Pole: Multiple Fixed,-37.819007732717196,144.9731330573479
20191029_streetlight_row_82,1544298,Feature Lighting - Swanston Street between Little Lonsdale Street and La Trobe Street,9,0,Pole: Multiple Fixed,-37.810198643869754,144.9642014345647
20191029_streetlight_row_83,1348359,Feature Lighting - Docklands,5,70,Inground,-37.8250965593305,144.94706239541893
20191029_streetlight_row_84,1539661,Feature Lighting - Victoria Harbour Promenade between Enterprize Way and Cumberland Street,9,0,Pole: Multiple Fixed,-37.819174030583085,144.9434721199795
20191029_streetlight_row_85,1347985,Feature Lighting - Docklands,5,70,Inground,-37.82423879262644,144.94447347193767
20191029_streetlight_row_86,1502959,Feature Lighting - Northbank,0,0,no_data,-37.819320773881294,144.9645396916947
20191029_streetlight_row_87,1348014,Feature Lighting - Docklands,5,70,Inground,-37.82489404717757,144.94550575745765
20191029_streetlight_row_88,1487803,Feature Lighting - Docklands,0,0,no_data,-37.81395785644906,144.94417650401485
20191029_streetlight_row_89,1346767,Feature Lighting - Docklands,1,0,Building Facade,-37.82100161218106,144.93270408805435
20191029_streetlight_row_90,1348340,Feature Lighting - Docklands,1,20,Tree,-37.81316032479158,144.9420403090685
20191029_streetlight_row_91,1346659,Feature Lighting - Docklands,5,70,Bridge Beam,-37.82402728932704,144.94792296753724
20191029_streetlight_row_92,1540453,Feature Lighting - Collins Street between Spencer Street and Batmans Hill Drive,13,70,Pole: Multiple Fixed,-37.81982688252807,144.9519120839714
20191029_streetlight_row_93,1541948,Feature Lighting -,0,0,Pole: Multiple Fixed,-37.8239269472126,144.95199487545548
20191029_streetlight_row_94,1539792,Feature Lighting - Southbank Promenade between Riverside Avenue and Southgate Avenue,13,70,Pole: Multiple Fixed,-37.820080143941674,144.96550138849997
20191029_streetlight_row_95,1544249,Feature Lighting -,12,0,Pole: Multiple Fixed,-37.82386564361044,144.9471638448484
20191029_streetlight_row_96,1544745,Feature Lighting - Lorimer Street between Montague Street and Westgate Freeway,13,70,Pole: Multiple Fixed,-37.825127348204546,144.94733970762857
20191029_streetlight_row_97,1541421,Feature Lighting - Docklands Park,13,14,Pole: Multiple Fixed,-37.820208031838945,144.94633376596312
20191029_streetlight_row_98,1543216,Feature Lighting - Lennon Street from Manningham Street,9,0,Pole: Multiple Fixed,-37.78693620331096,144.94148504967606
20191029_streetlight_row_99,1540246,Feature Lighting - Melbourne - Clifton Hill Railway,0,0,Pole: Multiple Fixed,-37.81657317361636,144.98513057824016
20191029_streetlight_row_100,1544228,Feature Lighting - Birrarung Marr,9,0,Pole: Multiple Fixed,-37.81901514856352,144.97306466101853
20191029_streetlight_row_101,1347958,Feature Lighting - Docklands,1,50,Inground,-37.82509782528123,144.94624261091172
20191029_streetlight_row_102,1544321,Feature Lighting - Birrarung Marr,9,0,Pole: Multiple Fixed,-37.81923678558,144.97440708173488
20191029_streetlight_row_103,1541635,Feature Lighting - Lonsdale Street between Russell Street and Swanston Street,9,0,Pole: Multiple Fixed,-37.810950497409095,144.966807067381
20191029_streetlight_row_104,1346643,Feature Lighting - Docklands,3,36,Parapet,-37.817777816446934,144.9492066433615
20191029_streetlight_row_105,1540270,Feature Lighting - Intersection of Market Street and Flinders Street,13,100,Pole: Multiple Fixed,-37.819435732132504,144.9610081314698
